,id_x_x,device_id_x,transaction_value_x,account_id,ts_millis_x,latitude_x,longitude_x,zip_x,id_x_y,device_id_y,transaction_value_y,ts_millis_y,latitude_y,longitude_y,zip_y,distance,diff_first_second,average,fraud
186,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,6.332410177967616e+18,3106.0,142.24,1465291390637.0,43.065096999999994,-71.443616,3106,19.230080947731853,253723.0,1.5808350030124856,0
187,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,8.238206017900739e+18,3049.0,90.29,1465291486252.0,42.859545000000004,-71.581313,3049,3.6334337322772665,158108.0,1.5808350030124856,0
188,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,5.376461978199768e+18,3053.0,69.61,1465291532920.0,42.8712,-71.387776,3053,2.3370500259865534,111440.0,1.5808350030124856,0
189,8.12930487508915e+18,3087.0,65.38,0.0,1465291644360.0,42.892210999999996,-71.234009,3087,7.616816296475498e+18,3108.0,33.11,1465291630444.0,42.952124,-71.65393900000001,3108,6.664112998284471,13916.0,1.5808350030124856,0
195,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,0.0,1551572.0,1.5808350030124856,1
196,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,21.76289548020321,1465689.0,1.5808350030124856,1
197,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,4.204376466245944,1430955.0,1.5808350030124856,1
198,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,1.997687804804129,1328081.0,1.5808350030124856,1
199,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,10.904861619996678,1314934.0,1.5808350030124856,1
200,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,5.0226943493154215,1238518.0,1.5808350030124856,1
201,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,6.332410177967616e+18,3106.0,142.24,1465291390637.0,43.065096999999994,-71.443616,3106,10.568280144643253,1211022.0,1.5808350030124856,1
202,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,8.238206017900739e+18,3049.0,90.29,1465291486252.0,42.859545000000004,-71.581313,3049,12.295234535365868,1115407.0,1.5808350030124856,1
203,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,5.376461978199768e+18,3053.0,69.61,1465291532920.0,42.8712,-71.387776,3053,10.998850829075156,1068739.0,1.5808350030124856,1
204,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,7.616816296475498e+18,3108.0,33.11,1465291630444.0,42.952124,-71.65393900000001,3108,1.997687804804129,971215.0,1.5808350030124856,0
205,5.042040914093646e+18,3109.0,160.67,0.0,1465292601659.0,42.970084,-71.405283,3109,8.12930487508915e+18,3087.0,65.38,1465291644360.0,42.892210999999996,-71.234009,3087,8.661800803088601,957299.0,1.5808350030124856,0
210,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,10.563274802148651,1728890.0,1.5808350030124856,1
211,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,11.199620678054558,1643007.0,1.5808350030124856,1
212,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,14.767651268394593,1608273.0,1.5808350030124856,1
213,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,8.56558699734452,1505399.0,1.5808350030124856,1
214,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,0.34158681784802913,1492252.0,1.5808350030124856,1
215,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,5.540580452833229,1415836.0,1.5808350030124856,1
216,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,6.332410177967616e+18,3106.0,142.24,1465291390637.0,43.065096999999994,-71.443616,3106,21.131554946791905,1388340.0,1.5808350030124856,1
217,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,8.238206017900739e+18,3049.0,90.29,1465291486252.0,42.859545000000004,-71.581313,3049,1.7319597332172179,1292725.0,1.5808350030124856,1
218,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,5.376461978199768e+18,3053.0,69.61,1465291532920.0,42.8712,-71.387776,3053,0.4355760269265049,1246057.0,1.5808350030124856,1
219,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,7.616816296475498e+18,3108.0,33.11,1465291630444.0,42.952124,-71.65393900000001,3108,8.56558699734452,1148533.0,1.5808350030124856,1
220,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,8.12930487508915e+18,3087.0,65.38,1465291644360.0,42.892210999999996,-71.234009,3087,1.9014739990600484,1134617.0,1.5808350030124856,1
221,6.071522122779532e+18,3048.0,92.31,0.0,1465292778977.0,42.875116,-71.717548,3048,5.042040914093646e+18,3109.0,160.67,1465292601659.0,42.970084,-71.405283,3109,10.563274802148651,177318.0,1.5808350030124856,0
225,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,4.204376466245944,2103858.0,1.5808350030124856,1
226,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,25.967271946449152,2017975.0,1.5808350030124856,1
227,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,0.0,1983241.0,1.5808350030124856,1
228,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,6.202064271050073,1880367.0,1.5808350030124856,1
229,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,15.109238086242623,1867220.0,1.5808350030124856,1
230,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,9.227070815561367,1790804.0,1.5808350030124856,1
231,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,6.332410177967616e+18,3106.0,142.24,1465291390637.0,43.065096999999994,-71.443616,3106,6.363903678397308,1763308.0,1.5808350030124856,1
232,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,8.238206017900739e+18,3049.0,90.29,1465291486252.0,42.859545000000004,-71.581313,3049,16.49961100161181,1667693.0,1.5808350030124856,1
233,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,5.376461978199768e+18,3053.0,69.61,1465291532920.0,42.8712,-71.387776,3053,15.203227295321097,1621025.0,1.5808350030124856,1
234,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,7.616816296475498e+18,3108.0,33.11,1465291630444.0,42.952124,-71.65393900000001,3108,6.202064271050073,1523501.0,1.5808350030124856,1
235,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,8.12930487508915e+18,3087.0,65.38,1465291644360.0,42.892210999999996,-71.234009,3087,12.866177269334544,1509585.0,1.5808350030124856,1
236,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,5.042040914093646e+18,3109.0,160.67,1465292601659.0,42.970084,-71.405283,3109,4.204376466245944,552286.0,1.5808350030124856,0
237,8.856361114058335e+18,3102.0,88.76,0.0,1465293153945.0,43.007883,-71.494561,3102,6.071522122779532e+18,3048.0,92.31,1465292778977.0,42.875116,-71.717548,3048,14.767651268394593,374968.0,1.5808350030124856,0
240,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,4.935317553002387e+18,3109.0,129.57,1465291050087.0,42.970084,-71.405283,3109,25.519794327366718,2251104.0,1.5808350030124856,1
241,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,5.416190868183552e+18,3063.0,151.12,1465291135970.0,42.774427,-71.511111,3063,3.7568988471635114,2165221.0,1.5808350030124856,1
242,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,7.250209153701219e+18,3102.0,76.59,1465291170704.0,43.007883,-71.494561,3102,29.724170793612664,2130487.0,1.5808350030124856,1
243,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,5.798320489225646e+18,3107.0,100.04,1465291273578.0,42.952124,-71.65393900000001,3107,23.52210652256259,2027613.0,1.5808350030124856,1
244,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,8.540583389140432e+18,3079.0,95.01,1465291286725.0,42.872045,-71.19619499999999,3079,14.614932707370041,2014466.0,1.5808350030124856,1
245,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,8.420866259829262e+18,3054.0,126.13,1465291363141.0,42.924928,-71.667508,3054,20.4970999780513,1938050.0,1.5808350030124856,1
246,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,6.332410177967616e+18,3106.0,142.24,1465291390637.0,43.065096999999994,-71.443616,3106,36.08807447200997,1910554.0,1.5808350030124856,1
247,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,8.238206017900739e+18,3049.0,90.29,1465291486252.0,42.859545000000004,-71.581313,3049,13.22455979200085,1814939.0,1.5808350030124856,1
248,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,5.376461978199768e+18,3053.0,69.61,1465291532920.0,42.8712,-71.387776,3053,14.520943498291565,1768271.0,1.5808350030124856,1
249,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,7.616816296475498e+18,3108.0,33.11,1465291630444.0,42.952124,-71.65393900000001,3108,23.52210652256259,1670747.0,1.5808350030124856,1
250,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,8.12930487508915e+18,3087.0,65.38,1465291644360.0,42.892210999999996,-71.234009,3087,16.85799352427812,1656831.0,1.5808350030124856,1
251,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,5.042040914093646e+18,3109.0,160.67,1465292601659.0,42.970084,-71.405283,3109,25.519794327366718,699532.0,1.5808350030124856,0
252,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,6.071522122779532e+18,3048.0,92.31,1465292778977.0,42.875116,-71.717548,3048,14.95651952521807,522214.0,1.5808350030124856,0
253,7.596430120350388e+18,3076.0,131.91,0.0,1465293301191.0,42.740651,-71.318715,3076,8.856361114058335e+18,3102.0,88.76,1465293153945.0,43.007883,-71.494561,3102,29.724170793612664,147246.0,1.5808350030124856,0
272,5.991753893543808e+18,3101.0,136.97,1.0,1465291039257.0,42.988483,-71.462111,3101,7.959454785033656e+18,3052.0,107.21,1465290976434.0,42.886789,-71.485331,3052,11.311406660451507,62823.0,1.5808350030124856,0
289,4.691337849576383e+18,3051.0,85.74,1.0,1465291168199.0,42.766426,-71.61887,3051,7.959454785033656e+18,3052.0,107.21,1465290976434.0,42.886789,-71.485331,3052,13.387956417013802,191765.0,1.5808350030124856,0
290,4.691337849576383e+18,3051.0,85.74,1.0,1465291168199.0,42.766426,-71.61887,3051,5.991753893543808e+18,3101.0,136.97,1465291039257.0,42.988483,-71.462111,3101,24.699363077465307,128942.0,1.5808350030124856,0
306,6.106859009386231e+18,3109.0,118.65,1.0,1465291233122.0,42.970084,-71.405283,3109,7.959454785033656e+18,3052.0,107.21,1465290976434.0,42.886789,-71.485331,3052,9.26488895885967,256688.0,1.5808350030124856,0
307,6.106859009386231e+18,3109.0,118.65,1.0,1465291233122.0,42.970084,-71.405283,3109,5.991753893543808e+18,3101.0,136.97,1465291039257.0,42.988483,-71.462111,3101,2.0465177015918368,193865.0,1.5808350030124856,0
308,6.106859009386231e+18,3109.0,118.65,1.0,1465291233122.0,42.970084,-71.405283,3109,4.691337849576383e+18,3051.0,85.74,1465291168199.0,42.766426,-71.61887,3051,22.652845375873465,64923.0,1.5808350030124856,0
323,8.186732480285025e+18,3087.0,151.35,1.0,1465291269366.0,42.892210999999996,-71.234009,3087,7.959454785033656e+18,3052.0,107.21,1465290976434.0,42.886789,-71.485331,3052,0.6030881557710693,292932.0,1.5808350030124856,0
324,8.186732480285025e+18,3087.0,151.35,1.0,1465291269366.0,42.892210999999996,-71.234009,3087,5.991753893543808e+18,3101.0,136.97,1465291039257.0,42.988483,-71.462111,3101,10.708318504680438,230109.0,1.5808350030124856,0
325,8.186732480285025e+18,3087.0,151.35,1.0,1465291269366.0,42.892210999999996,-71.234009,3087,4.691337849576383e+18,3051.0,85.74,1465291168199.0,42.766426,-71.61887,3051,13.991044572784869,101167.0,1.5808350030124856,0
326,8.186732480285025e+18,3087.0,151.35,1.0,1465291269366.0,42.892210999999996,-71.234009,3087,6.106859009386231e+18,3109.0,118.65,1465291233122.0,42.970084,-71.405283,3109,8.661800803088601,36244.0,1.5808350030124856,0
340,8.59025826004975e+18,3105.0,97.45,1.0,1465291282816.0,42.952124,-71.65393900000001,3105,7.959454785033656e+18,3052.0,107.21,1465290976434.0,42.886789,-71.485331,3052,7.267201154055541,306382.0,1.5808350030124856,0
341,8.59025826004975e+18,3105.0,97.45,1.0,1465291282816.0,42.952124,-71.65393900000001,3105,5.991753893543808e+18,3101.0,136.97,1465291039257.0,42.988483,-71.462111,3101,4.044205506395966,243559.0,1.5808350030124856,0
342,8.59025826004975e+18,3105.0,97.45,1.0,1465291282816.0,42.952124,-71.65393900000001,3105,4.691337849576383e+18,3051.0,85.74,1465291168199.0,42.766426,-71.61887,3051,20.655157571069342,114617.0,1.5808350030124856,0
